timestamp,depth,threads,scenario,median_ms,overhead_pct,move,score,min_ms,max_ms
2025-11-05_18:45:58,7,10,baseline,416.541,0.00,f2f4,0,385.068,449.377
2025-11-05_18:45:58,7,10,zero_overhead,436.952,4.90,f2f4,0,428.033,446.038
2025-11-05_18:45:58,7,10,with_panic,833.579,100.12,f2f4,0,813.217,899.359
2025-11-05_18:45:58,7,10,double_work,884.543,112.35,f2f4,0,861.157,900.324
